,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,val_loss
0,0.9042692890902424,0.9041617631368759,0.9040606286304183,0.9039602261761305,0.0,0.706554928950512,0.9555160636862621,0.8125563627962669
1,0.9048868087860797,0.9045492957065513,0.904363603611747,0.9042147418504727,0.0,0.7049161471750728,0.9558934208675522,0.5858815144140679
2,0.91773422542895,0.9116223513731756,0.9087731706050105,0.9071911657087441,0.0,0.6704089047264069,0.951485162955684,0.6611923289990286
3,0.9048868087860797,0.9045492957065513,0.904363603611747,0.9042147418504727,0.0,0.7049161471750728,0.9558934208675522,0.3898355744918447
4,0.9048868087860797,0.9045492957065513,0.904363603611747,0.9042147418504727,0.0,0.7049161471750728,0.9558934208675522,0.4051040882891835
5,0.9053814123643942,0.9049142731394282,0.90469468689893,0.9045359362675159,0.0,0.7039427679524107,0.9562783449608153,0.32439220926096973
6,0.9053814123643942,0.9049142731394282,0.90469468689893,0.9045359362675159,0.0,0.7039427679524107,0.9562783449608153,0.32433934232107675
7,0.9053814123643942,0.9049142731394282,0.90469468689893,0.9045359362675159,0.0,0.7039427679524107,0.9562783449608153,0.324382879264827
8,0.9053814123643942,0.9049142731394282,0.90469468689893,0.9045359362675159,0.0,0.7039427679524107,0.9562783449608153,0.3217245251883842
9,0.9053814123643942,0.9049142731394282,0.90469468689893,0.9045359362675159,0.0,0.7039427679524107,0.9562783449608153,0.3217246689209467
10,0.9050038668925183,0.9045632283538075,0.9043530056320718,0.9041993597971401,0.0,0.7045808315702013,0.9560779714407425,
