,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,val_loss
0,0.9311124550251774,0.9220630521949472,0.9178954333683094,0.9153794982333952,0.0,0.6717875307004795,0.9548289000536041,0.26182216943496234
1,0.9332340034818559,0.9232298419178943,0.9187047029648526,0.9160124993775176,0.0,0.6700990030003905,0.9551145315651789,0.24797356438177756
2,0.9337685731388352,0.9236065472338436,0.9190463590079354,0.9163208179056909,0.0,0.6705414220525884,0.9553867400507179,0.24360236267950836
3,0.9338938358453596,0.9239568051137607,0.9194785580597937,0.9167839760189741,0.0,0.6721823665747778,0.9552862726060518,0.24200023119487848
4,0.9351875668903524,0.925478676893387,0.9209951723583683,0.9182601317631607,0.0,0.674083854572784,0.9560283727580681,0.2393794873726695
5,0.9348185927811677,0.9250734239360037,0.9206069653779263,0.917976376210788,0.0,0.6741789121670453,0.9559700193050463,0.23853182002791795
6,0.9338642629967235,0.9240363412718955,0.9195281249172156,0.9168710423759967,0.0,0.6742207892372138,0.9556245114162376,0.2380181962731776
7,0.9342487468512912,0.924695214400011,0.9203114374754915,0.917702464108617,0.0,0.6729357245953322,0.9557144307871279,0.23812406477077816
8,0.9359711671445728,0.926492204443245,0.9221043522991296,0.9194335832493287,0.0,0.6767363401668232,0.9565712539485569,0.23033140196780733
9,0.9352363316203179,0.9255468787517721,0.9209588846440565,0.9181682397561931,0.0,0.6749697310479432,0.9561176829494796,0.23036644677108403
10,0.9331319752469793,0.9237910202962951,0.9194782216138687,0.916862238205665,0.0,0.675062814540414,0.9557742726175932,
